FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,,,,
,,,Solomon Islands,5/22/2021 4:20,-9.6457,160.1562,20,0,20,0,Solomon Islands,3.063453308,0,,,,
,,,Somalia,5/22/2021 4:20,5.152149,46.199616,14594,767,6639,7188,Somalia,91.825325,5.255584487,,,,
,,,South Africa,5/22/2021 4:20,-30.5595,22.9375,1628335,55719,1534350,38266,South Africa,2745.52515,3.421838872,,,,
,,,South Sudan,5/22/2021 4:20,6.877,31.307,10652,115,10462,75,South Sudan,95.1604242,1.079609463,,,,
,,Andalusia,Spain,5/22/2021 4:20,37.5443,-4.7278,574048,9856,10671,553521,"Andalusia, Spain",6811.681651,1.716929595,,,,
,,Aragon,Spain,5/22/2021 4:20,41.5976,-0.9057,122929,3500,3772,115657,"Aragon, Spain",9308.670545,2.847171945,,,,
,,Asturias,Spain,5/22/2021 4:20,43.3614,-5.8593,51882,1963,1063,48856,"Asturias, Spain",5075.498555,3.783585829,,,,
,,Baleares,Spain,5/22/2021 4:20,39.710358,2.995148,60137,839,1533,57765,"Baleares, Spain",5061.099796,1.395147746,,,,
,,C. Valenciana,Spain,5/22/2021 4:20,39.484,-0.7533,393415,7373,9970,376072,"C. Valenciana, Spain",7907.888471,1.874102411,,,,
,,Canarias,Spain,5/22/2021 4:20,28.2916,-16.6291,55451,767,1537,53147,"Canarias, Spain",2512.618373,1.383203188,,,,
,,Cantabria,Spain,5/22/2021 4:20,43.1828,-3.9878,29907,562,2287,27058,"Cantabria, Spain",5141.831473,1.879158725,,,,
,,Castilla - La Mancha,Spain,5/22/2021 4:20,39.2796,-3.0977,190098,5895,6392,177811,"Castilla - La Mancha, Spain",9341.989712,3.101032099,,,,
,,Castilla y Leon,Spain,5/22/2021 4:20,41.8357,-4.3976,228451,6833,8716,212902,"Castilla y Leon, Spain",9488.219832,2.99101339,,,,
,,Catalonia,Spain,5/22/2021 4:20,41.5912,1.5209,605851,14498,26203,565150,"Catalonia, Spain",8007.090794,2.392997618,,,,
,,Ceuta,Spain,5/22/2021 4:20,35.8894,-5.3213,5790,114,163,5513,"Ceuta, Spain",6825.495998,1.968911917,,,,
,,Extremadura,Spain,5/22/2021 4:20,39.4937,-6.0679,75303,1798,2652,70853,"Extremadura, Spain",7067.890342,2.387687078,,,,
,,Galicia,Spain,5/22/2021 4:20,42.5751,-8.1339,125586,2397,9204,113985,"Galicia, Spain",4650.57374,1.908652238,,,,
,,La Rioja,Spain,5/22/2021 4:20,42.2871,-2.5396,30470,769,3107,26594,"La Rioja, Spain",9717.097563,2.523793896,,,,
,,Madrid,Spain,5/22/2021 4:20,40.4168,-3.7038,708721,15201,40736,652784,"Madrid, Spain",10670.859,2.144849666,,,,
,,Melilla,Spain,5/22/2021 4:20,35.2923,-2.9381,9019,97,125,8797,"Melilla, Spain",10649.55307,1.075507262,,,,
,,Murcia,Spain,5/22/2021 4:20,37.9922,-1.1307,112319,1593,2180,108546,"Murcia, Spain",7550.029812,1.418281858,,,,
,,Navarra,Spain,5/22/2021 4:20,42.6954,-1.6761,61811,1170,3905,56736,"Navarra, Spain",9510.174691,1.892866965,,,,
,,Pais Vasco,Spain,5/22/2021 4:20,42.9896,-2.6189,195265,4395,16160,174710,"Pais Vasco, Spain",8965.829155,2.250787391,,,,
,,Unknown,Spain,4/25/2021 23:20,,,0,0,0,0,"Unknown, Spain",,,,,,
,,,Sri Lanka,5/22/2021 4:20,7.873054,80.771797,158333,1133,125360,31840,Sri Lanka,739.4160158,0.715580454,,,,
,,,Sudan,5/22/2021 4:20,12.8628,30.2176,34889,2568,27949,4372,Sudan,79.56575057,7.360486113,,,,
,,,Suriname,5/22/2021 4:20,3.9193,-56.0278,12742,243,10686,1813,Suriname,2172.052762,1.907078951,,,,
,,Blekinge,Sweden,5/22/2021 4:20,56.2784,15.018,12393,128,0,12265,"Blekinge, Sweden",7764.745686,1.03284112,,,,
,,Dalarna,Sweden,5/22/2021 4:20,61.0917,14.6664,26221,338,0,25883,"Dalarna, Sweden",9105.588854,1.289043133,,,,
,,Gavleborg,Sweden,5/22/2021 4:20,61.3012,16.1534,35236,552,0,34684,"Gavleborg, Sweden",12261.03235,1.566579634,,,,
,,Gotland,Sweden,5/22/2021 4:20,57.4684,18.4867,3898,51,0,3847,"Gotland, Sweden",6530.844754,1.308363263,,,,
,,Halland,Sweden,5/22/2021 4:20,56.8967,12.8034,39888,315,0,39573,"Halland, Sweden",11947.95236,0.789711191,,,,
,,Jamtland Harjedalen,Sweden,5/22/2021 4:20,63.1712,14.9592,12176,120,0,12056,"Jamtland Harjedalen, Sweden",9308.156869,0.985545335,,,,
,,Jonkoping,Sweden,5/22/2021 4:20,57.3708,14.3439,42047,552,0,41495,"Jonkoping, Sweden",11564.11321,1.31281661,,,,
,,Kalmar,Sweden,5/22/2021 4:20,57.235,16.1849,23437,243,0,23194,"Kalmar, Sweden",9548.739845,1.036822119,,,,
,,Kronoberg,Sweden,5/22/2021 4:20,56.7183,14.4115,21427,312,0,21115,"Kronoberg, Sweden",10635.38311,1.456106781,,,,
,,Norrbotten,Sweden,5/22/2021 4:20,66.8309,20.3992,23913,261,0,23652,"Norrbotten, Sweden",9561.643069,1.09145653,,,,
,,Orebro,Sweden,5/22/2021 4:20,59.535,15.0066,31235,334,0,30901,"Orebro, Sweden",10247.53531,1.06931327,,,,
,,Ostergotland,Sweden,5/22/2021 4:20,58.3454,15.5198,41154,621,0,40533,"Ostergotland, Sweden",8840.911288,1.508966322,,,,
,,Skane,Sweden,5/22/2021 4:20,55.9903,13.5958,152297,1716,0,150581,"Skane, Sweden",11053.41962,1.126745766,,,,
,,Sormland,Sweden,5/22/2021 4:20,59.0336,16.7519,25138,453,0,24685,"Sormland, Sweden",8448.611951,1.802052669,,,,
,,Stockholm,Sweden,5/22/2021 4:20,59.6025,18.1384,249494,4294,0,245200,"Stockholm, Sweden",10495.81398,1.721083473,,,,
,,Uppsala,Sweden,5/22/2021 4:20,60.0092,17.2715,39437,533,0,38904,"Uppsala, Sweden",10277.73362,1.351522682,,,,
,,Varmland,Sweden,5/22/2021 4:20,59.7294,13.2354,18265,209,0,18056,"Varmland, Sweden",6467.455579,1.144264988,,,,
,,Vasterbotten,Sweden,5/22/2021 4:20,65.3337,16.5162,22641,180,0,22461,"Vasterbotten, Sweden",8331.983984,0.795017888,,,,
,,Vasternorrland,Sweden,5/22/2021 4:20,63.4276,17.7292,26188,467,0,25721,"Vasternorrland, Sweden",10673.86192,1.783259508,,,,
,,Vastmanland,Sweden,5/22/2021 4:20,59.6714,16.2159,26900,345,0,26555,"Vastmanland, Sweden",9751.853396,1.282527881,,,,
,,Vastra Gotaland,Sweden,5/22/2021 4:20,58.2528,13.0596,184956,2342,0,182614,"Vastra Gotaland, Sweden",10716.61372,1.266247107,,,,
,,,Switzerland,5/22/2021 4:20,46.8182,8.2275,686152,10768,317600,357784,Switzerland,7928.160434,1.569331577,,,,
,,,Syria,5/22/2021 4:20,34.802075,38.996815,23996,1724,21514,758,Syria,137.1148523,7.184530755,,,,
,,,Taiwan*,5/22/2021 4:20,23.7,121,3139,15,1133,1991,Taiwan*,13.1797861,0.477859191,,,,
,,,Tajikistan,5/22/2021 4:20,38.861,71.2761,13308,90,13218,0,Tajikistan,139.5313433,0.676284941,,,,
,,,Tanzania,5/22/2021 4:20,-6.369028,34.888822,509,21,183,305,Tanzania,0.852107987,4.125736739,,,,
,,,Thailand,5/22/2021 4:20,15.870032,100.992541,123066,735,26873,95458,Thailand,176.3123765,0.597240505,,,,
,,,Timor-Leste,5/22/2021 4:20,-8.874217,125.727539,5287,11,2807,2469,Timor-Leste,401.0036088,0.2080575,,,,
,,,Togo,5/22/2021 4:20,8.6195,0.8248,13352,125,12142,1085,Togo,161.2806398,0.936189335,,,,
,,,Trinidad and Tobago,5/22/2021 4:20,10.6918,-61.2225,18935,348,11099,7488,Trinidad and Tobago,1352.991909,1.837866385,,,,
,,,Tunisia,5/22/2021 4:20,33.886917,9.537499,332833,12141,294184,26508,Tunisia,2816.175292,3.647775311,,,,
,,,Turkey,5/22/2021 4:20,38.9637,35.2433,5169951,45840,4998639,125472,Turkey,6129.959915,0.886662175,,,,
1001,Autauga,Alabama,US,5/22/2021 4:20,32.53952745,-86.64408227,7106,109,,,"Autauga, Alabama, US",12719.03918,1.533915001,,,,
1003,Baldwin,Alabama,US,5/22/2021 4:20,30.72774991,-87.72207058,21511,310,,,"Baldwin, Alabama, US",9636.076942,1.441123146,,,,
1005,Barbour,Alabama,US,5/22/2021 4:20,31.868263,-85.3871286,2327,58,,,"Barbour, Alabama, US",9426.395528,2.492479587,,,,
1007,Bibb,Alabama,US,5/22/2021 4:20,32.99642064,-87.1251146,2657,64,,,"Bibb, Alabama, US",11864.78521,2.408731652,,,,
1009,Blount,Alabama,US,5/22/2021 4:20,33.98210918,-86.56790593,6826,139,,,"Blount, Alabama, US",11804.37865,2.036331673,,,,
1011,Bullock,Alabama,US,5/22/2021 4:20,32.10030533,-85.71265535,1233,42,,,"Bullock, Alabama, US",12206.71221,3.406326034,,,,
1013,Butler,Alabama,US,5/22/2021 4:20,31.75300095,-86.68057478,2199,69,,,"Butler, Alabama, US",11307.07528,3.137789905,,,,
1015,Calhoun,Alabama,US,5/22/2021 4:20,33.77483727,-85.82630386,14588,321,,,"Calhoun, Alabama, US",12840.98411,2.200438717,,,,
1017,Chambers,Alabama,US,5/22/2021 4:20,32.91360079,-85.39072749,3634,123,,,"Chambers, Alabama, US",10928.00866,3.384700055,,,,
1019,Cherokee,Alabama,US,5/22/2021 4:20,34.17805983,-85.60638968,1852,45,,,"Cherokee, Alabama, US",7069.781646,2.429805616,,,,
1021,Chilton,Alabama,US,5/22/2021 4:20,32.85044126,-86.7173256,4403,114,,,"Chilton, Alabama, US",9910.416854,2.589143766,,,,
1023,Choctaw,Alabama,US,5/22/2021 4:20,32.02227341,-88.2656443,611,24,,,"Choctaw, Alabama, US",4853.443482,3.927986907,,,,
1025,Clarke,Alabama,US,5/22/2021 4:20,31.68099859,-87.83548597,3517,61,,,"Clarke, Alabama, US",14888.66311,1.734432755,,,,
1027,Clay,Alabama,US,5/22/2021 4:20,33.26984193,-85.85836077,1576,57,,,"Clay, Alabama, US",11907.82017,3.616751269,,,,
1029,Cleburne,Alabama,US,5/22/2021 4:20,33.67679204,-85.52005899,1500,42,,,"Cleburne, Alabama, US",10060.36217,2.8,,,,
1031,Coffee,Alabama,US,5/22/2021 4:20,31.39932826,-85.98901039,5591,118,,,"Coffee, Alabama, US",10681.67055,2.110534788,,,,
1033,Colbert,Alabama,US,5/22/2021 4:20,34.69847452,-87.80168544,6333,136,,,"Colbert, Alabama, US",11464.31093,2.147481446,,,,
1035,Conecuh,Alabama,US,5/22/2021 4:20,31.43401703,-86.99320044,1111,29,,,"Conecuh, Alabama, US",9206.927985,2.610261026,,,,
1037,Coosa,Alabama,US,5/22/2021 4:20,32.93690146,-86.24847739,1096,29,,,"Coosa, Alabama, US",10278.53325,2.645985401,,,,
1039,Covington,Alabama,US,5/22/2021 4:20,31.2477854,-86.45050893,4174,119,,,"Covington, Alabama, US",11266.16103,2.850982271,,,,
1041,Crenshaw,Alabama,US,5/22/2021 4:20,31.72941803,-86.31593104,1537,57,,,"Crenshaw, Alabama, US",11160.3253,3.708523097,,,,
1043,Cullman,Alabama,US,5/22/2021 4:20,34.13020303,-86.86888037,9803,195,,,"Cullman, Alabama, US",11702.55945,1.989186984,,,,
1045,Dale,Alabama,US,5/22/2021 4:20,31.43037123,-85.61095742,4888,113,,,"Dale, Alabama, US",9940.616611,2.311783961,,,,
1047,Dallas,Alabama,US,5/22/2021 4:20,32.32688101,-87.1086671,3582,153,,,"Dallas, Alabama, US",9630.067749,4.271356784,,,,
1049,DeKalb,Alabama,US,5/22/2021 4:20,34.45946862,-85.80782906,8885,188,,,"DeKalb, Alabama, US",12424.31446,2.115925718,,,,
1051,Elmore,Alabama,US,5/22/2021 4:20,32.59785413,-86.14415284,10209,206,,,"Elmore, Alabama, US",12571.26673,2.017827407,,,,
1053,Escambia,Alabama,US,5/22/2021 4:20,31.1256789,-87.15918694,3955,77,,,"Escambia, Alabama, US",10796.27658,1.946902655,,,,
1055,Etowah,Alabama,US,5/22/2021 4:20,34.04567266,-86.04051873,13947,355,,,"Etowah, Alabama, US",13637.69703,2.545350255,,,,
1057,Fayette,Alabama,US,5/22/2021 4:20,33.72076938,-87.73886638,2135,62,,,"Fayette, Alabama, US",13096.55257,2.903981265,,,,
1059,Franklin,Alabama,US,5/22/2021 4:20,34.44235334,-87.84289505,4265,82,,,"Franklin, Alabama, US",13599.26025,1.922626026,,,,
1061,Geneva,Alabama,US,5/22/2021 4:20,31.09389027,-85.83572839,2550,79,,,"Geneva, Alabama, US",9706.520498,3.098039216,,,,
1063,Greene,Alabama,US,5/22/2021 4:20,32.85504247,-87.95684022,926,34,,,"Greene, Alabama, US",11416.59475,3.671706263,,,,
1065,Hale,Alabama,US,5/22/2021 4:20,32.76039258,-87.63284988,2245,78,,,"Hale, Alabama, US",15323.18613,3.474387528,,,,
1067,Henry,Alabama,US,5/22/2021 4:20,31.51148016,-85.24267944,1914,43,,,"Henry, Alabama, US",11124.67306,2.246603971,,,,
1069,Houston,Alabama,US,5/22/2021 4:20,31.15197924,-85.29939599,10679,283,,,"Houston, Alabama, US",10085.75584,2.650060867,,,,
1071,Jackson,Alabama,US,5/22/2021 4:20,34.78144169,-85.99750489,6852,112,,,"Jackson, Alabama, US",13272.38213,1.634559253,,,,
1073,Jefferson,Alabama,US,5/22/2021 4:20,33.55554728,-86.895063,80020,1533,,,"Jefferson, Alabama, US",12150.51331,1.915771057,,,,
1075,Lamar,Alabama,US,5/22/2021 4:20,33.77995024,-88.09668032,1441,37,,,"Lamar, Alabama, US",10438.24701,2.567661346,,,,
1077,Lauderdale,Alabama,US,5/22/2021 4:20,34.90171875,-87.65624729,9494,244,,,"Lauderdale, Alabama, US",10238.43674,2.570044238,,,,
1079,Lawrence,Alabama,US,5/22/2021 4:20,34.52041498,-87.31069453,3053,99,,,"Lawrence, Alabama, US",9272.870854,3.242712086,,,,
1081,Lee,Alabama,US,5/22/2021 4:20,32.60154883,-85.35132246,16034,172,,,"Lee, Alabama, US",9744.624473,1.072720469,,,,
1083,Limestone,Alabama,US,5/22/2021 4:20,34.81185586,-86.98310072,10098,152,,,"Limestone, Alabama, US",10208.7651,1.505248564,,,,
1085,Lowndes,Alabama,US,5/22/2021 4:20,32.1597283,-86.65158371,1413,53,,,"Lowndes, Alabama, US",14528.06909,3.750884643,,,,
1087,Macon,Alabama,US,5/22/2021 4:20,32.38759944,-85.69267724,1615,50,,,"Macon, Alabama, US",8938.454727,3.095975232,,,,
1089,Madison,Alabama,US,5/22/2021 4:20,34.76327133,-86.55069633,35244,508,,,"Madison, Alabama, US",9451.09933,1.441380093,,,,
1091,Marengo,Alabama,US,5/22/2021 4:20,32.24767634,-87.78796182,2500,65,,,"Marengo, Alabama, US",13253.45915,2.6,,,,
1093,Marion,Alabama,US,5/22/2021 4:20,34.13697363,-87.88704173,3154,101,,,"Marion, Alabama, US",10616.31156,3.202282815,,,,
1095,Marshall,Alabama,US,5/22/2021 4:20,34.36975964,-86.30486727,12319,227,,,"Marshall, Alabama, US",12729.65879,1.842682036,,,,
1097,Mobile,Alabama,US,5/22/2021 4:20,30.78472347,-88.20842409,41392,814,,,"Mobile, Alabama, US",10017.18255,1.966563587,,,,
1099,Monroe,Alabama,US,5/22/2021 4:20,31.56729412,-87.36995001,1785,41,,,"Monroe, Alabama, US",8609.463175,2.296918768,,,,
1101,Montgomery,Alabama,US,5/22/2021 4:20,32.2206831,-86.20969272,24807,595,,,"Montgomery, Alabama, US",10952.99489,2.398516548,,,,
1103,Morgan,Alabama,US,5/22/2021 4:20,34.45500589,-86.85475946,14475,281,,,"Morgan, Alabama, US",12094.85373,1.941278066,,,,
80001,Out of AL,Alabama,US,12/21/2020 13:27,,,0,0,,,"Out of AL, Alabama, US",,,,,,
1105,Perry,Alabama,US,5/22/2021 4:20,32.64048341,-87.29770589,1080,26,,,"Perry, Alabama, US",12103.55262,2.407407407,,,,
1107,Pickens,Alabama,US,5/22/2021 4:20,33.28094866,-88.08818103,2351,62,,,"Pickens, Alabama, US",11796.287,2.63717567,,,,
1109,Pike,Alabama,US,5/22/2021 4:20,31.80396383,-85.9408295,3125,77,,,"Pike, Alabama, US",9437.096092,2.464,,,,
1111,Randolph,Alabama,US,5/22/2021 4:20,33.29526734,-85.45708831,1836,43,,,"Randolph, Alabama, US",8080.274624,2.34204793,,,,
1113,Russell,Alabama,US,5/22/2021 4:20,32.28725256,-85.18415324,4481,38,,,"Russell, Alabama, US",7731.060541,0.848024994,,,,
1117,Shelby,Alabama,US,5/22/2021 4:20,33.26879845,-86.66232561,25330,251,,,"Shelby, Alabama, US",11635.17101,0.990919858,,,,
1115,St. Clair,Alabama,US,5/22/2021 4:20,33.71902176,-86.31029372,9980,246,,,"St. Clair, Alabama, US",11149.3431,2.46492986,,,,
1119,Sumter,Alabama,US,5/22/2021 4:20,32.59117397,-88.19916205,1053,32,,,"Sumter, Alabama, US",8473.485153,3.038936372,,,,
1121,Talladega,Alabama,US,5/22/2021 4:20,33.37823223,-86.16886178,8359,178,,,"Talladega, Alabama, US",10451.6242,2.129441321,,,,
1123,Tallapoosa,Alabama,US,5/22/2021 4:20,32.86698258,-85.79833053,4055,152,,,"Tallapoosa, Alabama, US",10045.33406,3.748458693,,,,
1125,Tuscaloosa,Alabama,US,5/22/2021 4:20,33.28726072,-87.52556818,25975,456,,,"Tuscaloosa, Alabama, US",12407.15531,1.755534167,,,,
90001,Unassigned,Alabama,US,12/21/2020 13:27,,,0,0,,,"Unassigned, Alabama, US",,,,,,
1127,Walker,Alabama,US,5/22/2021 4:20,33.80270512,-87.30027177,7270,279,,,"Walker, Alabama, US",11445.03393,3.837689133,,,,
1129,Washington,Alabama,US,5/22/2021 4:20,31.4092794,-88.20689944,1682,39,,,"Washington, Alabama, US",10302.58483,2.318668252,,,,
1131,Wilcox,Alabama,US,5/22/2021 4:20,31.98773215,-87.30891118,1274,30,,,"Wilcox, Alabama, US",12281.88566,2.354788069,,,,
1133,Winston,Alabama,US,5/22/2021 4:20,34.15030532,-87.37325922,2761,73,,,"Winston, Alabama, US",11684.79411,2.643969576,,,,
2013,Aleutians East,Alaska,US,5/22/2021 4:20,55.32222414,-161.9722021,369,3,,,"Aleutians East, Alaska, US",11057.83638,0.81300813,,,,
2016,Aleutians West,Alaska,US,5/22/2021 4:20,52.3233,-174.1596,701,1,,,"Aleutians West, Alaska, US",12442.31452,0.142653352,,,,
2020,Anchorage,Alaska,US,5/22/2021 4:20,61.14998174,-149.1426986,30686,179,,,"Anchorage, Alaska, US",10654.86111,0.583327902,,,,
2050,Bethel,Alaska,US,5/22/2021 4:20,60.90980451,-159.8561831,3896,22,,,"Bethel, Alaska, US",21190.0359,0.564681725,,,,
2060,Bristol Bay,Alaska,US,5/22/2021 4:20,58.74513976,-156.701064,0,0,,,"Bristol Bay, Alaska, US",0,,,,,
2164,Bristol Bay plus Lake and Peninsula,Alaska,US,5/22/2021 4:20,58.62403337,-156.2140589,198,0,,,"Bristol Bay plus Lake and Peninsula, Alaska, US",4925.373134,0,,,,
2063,Chugach,Alaska,US,5/22/2021 4:20,61.16666,-149.9,435,3,,,"Chugach, Alaska, US",6443.489853,0.689655172,,,,
2066,Copper River,Alaska,US,5/22/2021 4:20,60.3886,-162.8905196,243,0,,,"Copper River, Alaska, US",9003.334568,0,,,,
2068,Denali,Alaska,US,5/22/2021 4:20,63.67264044,-150.0076108,109,0,,,"Denali, Alaska, US",5197.901764,0,,,,
2070,Dillingham,Alaska,US,5/22/2021 4:20,59.79603738,-158.2381942,230,2,,,"Dillingham, Alaska, US",4678.600488,0.869565217,,,,
2090,Fairbanks North Star,Alaska,US,5/22/2021 4:20,64.80726247,-146.5692662,7983,43,,,"Fairbanks North Star, Alaska, US",8242.728371,0.53864462,,,,
2100,Haines,Alaska,US,5/22/2021 4:20,59.09893571,-135.4679843,31,0,,,"Haines, Alaska, US",1225.296443,0,,,,
2110,Juneau,Alaska,US,5/22/2021 4:20,58.45031811,-134.200436,1440,5,,,"Juneau, Alaska, US",4503.659223,0.347222222,,,,
2122,Kenai Peninsula,Alaska,US,5/22/2021 4:20,60.24429722,-151.5388884,4556,22,,,"Kenai Peninsula, Alaska, US",7760.441507,0.482879719,,,,
2130,Ketchikan Gateway,Alaska,US,5/22/2021 4:20,55.57445008,-130.975561,620,2,,,"Ketchikan Gateway, Alaska, US",4460.110783,0.322580645,,,,
2150,Kodiak Island,Alaska,US,5/22/2021 4:20,57.65529415,-153.7493579,1119,6,,,"Kodiak Island, Alaska, US",8609.016772,0.536193029,,,,
2158,Kusilvak,Alaska,US,5/22/2021 4:20,62.1542916,-163.3967883,1300,4,,,"Kusilvak, Alaska, US",15636.27616,0.307692308,,,,
2170,Matanuska-Susitna,Alaska,US,5/22/2021 4:20,62.31305045,-149.5741743,11703,57,,,"Matanuska-Susitna, Alaska, US",10804.3982,0.487054601,,,,
2180,Nome,Alaska,US,5/22/2021 4:20,64.90320724,-164.0353804,366,0,,,"Nome, Alaska, US",3658.536585,0,,,,
2185,North Slope,Alaska,US,5/22/2021 4:20,69.31479216,-153.4836093,1086,4,,,"North Slope, Alaska, US",11045.5655,0.368324125,,,,
2188,Northwest Arctic,Alaska,US,5/22/2021 4:20,67.04919196,-159.7503946,620,2,,,"Northwest Arctic, Alaska, US",8135.4153,0.322580645,,,,
2195,Petersburg,Alaska,US,5/22/2021 4:20,57.13978948,-132.9540995,172,1,,,"Petersburg, Alaska, US",5266.380894,0.581395349,,,,
2198,Prince of Wales-Hyder,Alaska,US,5/22/2021 4:20,55.76261984,-133.0511621,141,1,,,"Prince of Wales-Hyder, Alaska, US",2273.093664,0.709219858,,,,
2220,Sitka,Alaska,US,5/22/2021 4:20,57.24124555,-135.3206587,364,1,,,"Sitka, Alaska, US",4285.882491,0.274725275,,,,
2230,Skagway,Alaska,US,5/22/2021 4:20,59.56149996,-135.3337748,21,0,,,"Skagway, Alaska, US",1775.147929,0,,,,
2240,Southeast Fairbanks,Alaska,US,5/22/2021 4:20,63.87692095,-143.2127643,707,5,,,"Southeast Fairbanks, Alaska, US",10256.78224,0.707213579,,,,
90002,Unassigned,Alaska,US,5/22/2021 4:20,,,297,0,,,"Unassigned, Alaska, US",,0,,,,
2261,Valdez-Cordova,Alaska,US,5/22/2021 4:20,61.47502768,-144.7126799,0,0,,,"Valdez-Cordova, Alaska, US",0,,,,,
2275,Wrangell,Alaska,US,5/22/2021 4:20,56.3202004,-132.0583731,57,0,,,"Wrangell, Alaska, US",2278.177458,0,,,,
2282,Yakutat,Alaska,US,5/22/2021 4:20,59.8909808,-140.3601451,87,2,,,"Yakutat, Alaska, US",15025.90674,2.298850575,,,,
2290,Yukon-Koyukuk,Alaska,US,5/22/2021 4:20,65.50815459,-151.3907387,365,4,,,"Yukon-Koyukuk, Alaska, US",6978.967495,1.095890411,,,,
4001,Apache,Arizona,US,5/22/2021 4:20,35.39465006,-109.4892383,11379,431,,,"Apache, Arizona, US",15829.00942,3.787679058,,,,
4003,Cochise,Arizona,US,5/22/2021 4:20,31.87934684,-109.7516088,12045,287,,,"Cochise, Arizona, US",9565.445276,2.382731424,,,,
4005,Coconino,Arizona,US,5/22/2021 4:20,35.83883429,-111.7707178,17870,332,,,"Coconino, Arizona, US",12455.04475,1.857862339,,,,
4007,Gila,Arizona,US,5/22/2021 4:20,33.80190085,-110.8132779,6922,230,,,"Gila, Arizona, US",12814.2471,3.322739093,,,,431
4009,Graham,Arizona,US,5/22/2021 4:20,32.93166885,-109.8882178,5613,82,,,"Graham, Arizona, US",14452.71262,1.460894352,,,,287
4011,Greenlee,Arizona,US,5/22/2021 4:20,33.21498827,-109.2405279,574,10,,,"Greenlee, Arizona, US",6043.377553,1.742160279,,,,332
4012,La Paz,Arizona,US,5/22/2021 4:20,33.72854224,-113.9810029,2470,79,,,"La Paz, Arizona, US",11701.72446,3.198380567,,,,230
4013,Maricopa,Arizona,US,5/22/2021 4:20,33.34835867,-112.4918154,546516,9999,,,"Maricopa, Arizona, US",12184.29336,1.829589619,,,,82
4015,Mohave,Arizona,US,5/22/2021 4:20,35.70471703,-113.7577902,22927,725,,,"Mohave, Arizona, US",10805.39728,3.162210494,,,,10
4017,Navajo,Arizona,US,5/22/2021 4:20,35.3997715,-110.3218983,16371,536,,,"Navajo, Arizona, US",14758.75374,3.274082219,,,,79
80004,Out of AZ,Arizona,US,5/22/2021 4:20,,,0,0,,,"Out of AZ, Arizona, US",,,,,,9999
4019,Pima,Arizona,US,5/22/2021 4:20,32.0971334,-111.7890033,116231,2407,,,"Pima, Arizona, US",11098.37971,2.0708761,,,,725
4021,Pinal,Arizona,US,5/22/2021 4:20,32.90525627,-111.3449483,52504,888,,,"Pinal, Arizona, US",11345.12704,1.69129971,,,,536
4023,Santa Cruz,Arizona,US,5/22/2021 4:20,31.52508998,-110.8479088,8018,179,,,"Santa Cruz, Arizona, US",17243.75242,2.232476927,,,,0
90004,Unassigned,Arizona,US,5/22/2021 4:20,,,2,0,,,"Unassigned, Arizona, US",,0,,,,2407
4025,Yavapai,Arizona,US,5/22/2021 4:20,34.59933926,-112.5538588,19133,508,,,"Yavapai, Arizona, US",8138.273663,2.655098521,,,,888
4027,Yuma,Arizona,US,5/22/2021 4:20,32.76895712,-113.9066674,37191,838,,,"Yuma, Arizona, US",17396.28696,2.253233309,,,,179
5001,Arkansas,Arkansas,US,5/22/2021 4:20,34.29145151,-91.37277296,2119,37,,,"Arkansas, Arkansas, US",12118.26604,1.746106654,,,,0
5003,Ashley,Arkansas,US,5/22/2021 4:20,33.19153461,-91.7698471,2034,35,,,"Ashley, Arkansas, US",10347.45892,1.720747296,,,,508
5005,Baxter,Arkansas,US,5/22/2021 4:20,36.28784385,-92.33782872,3190,104,,,"Baxter, Arkansas, US",7607.555089,3.260188088,,,,838
5007,Benton,Arkansas,US,5/22/2021 4:20,36.33644656,-94.25680817,29280,417,,,"Benton, Arkansas, US",10489.3226,1.424180328,,,,
5009,Boone,Arkansas,US,5/22/2021 4:20,36.3084504,-93.09374925,3853,80,,,"Boone, Arkansas, US",10293.33191,2.076304179,,,,
5011,Bradley,Arkansas,US,5/22/2021 4:20,33.46755808,-92.15980837,1395,32,,,"Bradley, Arkansas, US",12961.07033,2.29390681,,,,
5013,Calhoun,Arkansas,US,5/22/2021 4:20,33.55598792,-92.49974403,411,3,,,"Calhoun, Arkansas, US",7920.601272,0.729927007,,,,
5015,Carroll,Arkansas,US,5/22/2021 4:20,36.3403856,-93.54270261,2813,46,,,"Carroll, Arkansas, US",9911.909796,1.635264842,,,,
5017,Chicot,Arkansas,US,5/22/2021 4:20,33.26458973,-91.29539209,1617,41,,,"Chicot, Arkansas, US",15981.41925,2.535559678,,,,
5019,Clark,Arkansas,US,5/22/2021 4:20,34.04613432,-93.17484713,2118,41,,,"Clark, Arkansas, US",9489.247312,1.93578848,,,,
5021,Clay,Arkansas,US,5/22/2021 4:20,36.36826212,-90.4148172,1778,51,,,"Clay, Arkansas, US",12219.09147,2.868391451,,,,
5023,Cleburne,Arkansas,US,5/22/2021 4:20,35.53864922,-92.02640019,1995,75,,,"Cleburne, Arkansas, US",8005.939243,3.759398496,,,,
5025,Cleveland,Arkansas,US,5/22/2021 4:20,33.89723187,-92.18537045,954,25,,,"Cleveland, Arkansas, US",11990.95023,2.620545073,,,,
